frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
532,1,1,1.0,1.0,0.0115,84.56
533,1,1,1.0,1.0,0.0081,78.12
534,1,1,1.0,1.0,0.0103,77.32
535,1,1,1.0,1.0,0.0009,75.87
536,1,1,1.0,1.0,-0.0034,74.24
537,1,1,1.0,1.0,-0.9916,85.21
538,1,1,1.0,1.0,-0.9888,71.89
539,1,1,1.0,1.0,-0.9694,84.48
540,1,1,1.0,1.0,-0.9708,81.11
541,1,1,1.0,1.0,-0.9655,79.98
542,1,1,1.0,1.0,-0.0159,77.88
543,1,1,1.0,1.0,-0.0178,84.2
544,1,1,1.0,1.0,-0.0179,77.63
545,1,1,1.0,1.0,-0.0204,70.84
546,1,1,1.0,1.0,-0.0227,86.1
547,1,1,1.0,1.0,-0.024,75.17
548,1,1,1.0,1.0,-0.0242,81.46
549,1,1,1.0,1.0,-0.0248,74.32
550,1,1,1.0,1.0,-0.9735,70.99
551,1,1,1.0,1.0,-0.9708,88.34
552,1,1,1.0,1.0,-0.9647,77.3
553,1,1,1.0,1.0,-0.9684,77.54
554,1,1,1.0,1.0,-0.9743,81.28
555,1,1,1.0,1.0,-0.9725,88.68
556,1,1,1.0,1.0,-0.0143,81.76
557,1,1,1.0,1.0,-0.0172,85.83
558,1,1,1.0,1.0,-0.0171,81.14
559,1,1,1.0,1.0,-0.0102,79.28
560,1,1,1.0,1.0,-0.0226,80.0
561,1,1,1.0,1.0,-0.0267,80.66
562,1,1,1.0,1.0,-0.03,93.88
563,1,1,1.0,1.0,-0.9795,70.73
564,1,1,1.0,1.0,-0.96,70.46
565,1,1,1.0,1.0,-0.9917,74.08
566,1,1,1.0,1.0,-0.9849,74.08
567,1,1,1.0,1.0,-0.9807,96.03
568,1,1,1.0,1.0,-0.0517,76.78
569,1,1,1.0,1.0,-0.0462,71.76
570,1,1,1.0,1.0,-0.0446,76.87
571,1,1,1.0,1.0,-0.0445,75.01
572,1,1,1.0,1.0,-0.0431,68.94
573,1,1,1.0,1.0,-0.0388,69.82
574,1,1,1.0,1.0,-0.0315,58.93
575,1,1,1.0,1.0,-0.0259,79.82
576,1,1,1.0,1.0,-0.9676,85.22
577,1,1,1.0,1.0,-1.0146,74.39
578,1,1,1.0,1.0,-0.9713,84.3
579,1,1,1.0,1.0,-0.9564,79.07
